# 词影迷踪词库数据
# 每行「分类|词1 词2 …」，词尾 * 表示难词。去重由脚本处理。

# ============ 传统文化子集（约 7%，作点缀） ============
节气|立春 雨水 惊蛰 春分 清明 谷雨 立夏 小满 芒种 夏至 小暑 大暑 立秋 处暑 白露 秋分 寒露 霜降 立冬 小雪 大雪 冬至 小寒 大寒
水果|苹果 香蕉 西瓜 葡萄 草莓 橙子 橘子 柚子 柠檬 芒果 菠萝 樱桃 桃子 李子 柿子 石榴 猕猴桃 火龙果 荔枝 龙眼 杨梅 枇杷 桑葚 蓝莓 百香果 榴莲 山竹 椰子 木瓜 哈密瓜 香瓜 甜瓜 甘蔗 山楂 无花果 橄榄 青梅 杨桃 莲雾 番石榴 红毛丹 沙棘 枸杞 西梅 提子 青柠 金桔 脐橙 血橙 丑橘 沃柑 车厘子 圣女果 牛油果 菠萝蜜 鸭梨 冬枣 大枣 蜜枣 椰枣 人参果 沙果 蛇果 马蹄 姑娘果 灯笼果 金桔 佛手 柠檬柑
蔬菜|白菜 菠菜 芹菜 韭菜 香菜 生菜 油菜 空心菜 娃娃菜 芥菜 莴笋 油麦菜 苋菜 茼蒿 香椿 豆芽 绿豆芽 黄豆芽 西兰花 花菜 卷心菜 紫甘蓝 胡萝卜 白萝卜 青萝卜 红萝卜 土豆 红薯 山药 芋头 莲藕 莴苣 竹笋 冬笋 春笋 芦笋 茄子 番茄 黄瓜 冬瓜 南瓜 丝瓜 苦瓜 葫芦 西葫芦 青椒 辣椒 尖椒 彩椒 秋葵 豆角 四季豆 豌豆 毛豆 蚕豆 豇豆 扁豆 蒜苗 蒜苔 大葱 小葱 洋葱 生姜 大蒜 韭菜花 荸荠 茭白 慈姑 荠菜 蕨菜 马齿苋 木耳 银耳 香菇 蘑菇 金针菇 平菇 杏鲍菇 海带 紫菜 裙带菜
饮品|绿茶 红茶 乌龙茶 普洱茶 花茶 奶茶 咖啡 豆浆 牛奶 酸奶 果汁 橙汁 苹果汁 可乐 雪碧 汽水 矿泉水 苏打水 凉白开 蜂蜜水 柠檬水 酸梅汤 绿豆汤 红豆汤 银耳汤 椰汁 米酒 啤酒 白酒 红酒 黄酒 鸡尾酒 香槟 烧酒 冰红茶 冰绿茶 乳酸菌 益生菌 果茶 珍珠奶茶 奶盖茶 抹茶 可可 巧克力奶 乳酸菌饮料 凉茶 王老吉 优酸乳 红牛 脉动 雪碧 芬达 七喜

# ============ 自然与生物 ============
动物|老鼠 松鼠 猴子 猩猩 大象 狮子 老虎 豹子 狐狸 熊猫 长颈鹿 斑马 河马 犀牛 骆驼 袋鼠 考拉 树懒 刺猬 蝙蝠 浣熊 水獭 海豹 海狮 海象 海豚 鲸鱼 鲨鱼 金鱼 鲤鱼 鲫鱼 草鱼 鲈鱼 带鱼 三文鱼 金枪鱼 沙丁鱼 泥鳅 黄鳝 鳗鱼 鱿鱼 章鱼 乌贼 墨鱼 龙虾 螃蟹 大闸蟹 基围虾 皮皮虾 海参 海胆 海星 海马 水母 珊瑚 蛤蜊 扇贝 生蚝 牡蛎 鲍鱼 田螺 蜗牛 蚯蚓 蜘蛛 蝎子 蜈蚣 螳螂 蚂蚱 蝗虫 蟋蟀 蝴蝶 飞蛾 蜻蜓 萤火虫 蜜蜂 黄蜂 马蜂 苍蝇 蚊子 蟑螂 跳蚤 蚂蚁 白蚁 甲虫 瓢虫 天牛 独角仙 金龟子 臭虫 竹节虫 蚜虫 家禽 家畜 宠物 恐龙 乌龟 甲鱼 壁虎 蜥蜴 变色龙 蟒蛇 眼镜蛇 响尾蛇 鳄鱼 青蛙 蟾蜍 蝌蚪 娃娃鱼 企鹅 海鸥 鸽子 麻雀 燕子 喜鹊 乌鸦 老鹰 猫头鹰 啄木鸟 鹦鹉 孔雀 天鹅 大雁 白鹭 丹顶鹤 火烈鸟 蜂鸟 金丝雀 画眉 八哥 黄鹂 杜鹃 布谷鸟 鸵鸟 鹈鹕 信天翁 秃鹫 海燕 翠鸟 鹌鹑 珍珠鸡 牦牛 藏羚羊 梅花鹿 麋鹿 长臂猿 金丝猴 雪豹 云豹 山魈
植物|松树 柏树 杉树 槐树 杨树 柳树 榕树 枫树 银杏 白桦 梧桐 香樟 桂花树 玉兰 樱花 桃花 梅花 杏花 梨花 荷花 莲花 牡丹 芍药 玫瑰 月季 百合 郁金香 康乃馨 菊花 向日葵 蒲公英 牵牛花 喇叭花 杜鹃花 山茶花 栀子花 茉莉 桂花 腊梅 水仙 兰花 君子兰 仙人掌 仙人球 多肉 绿萝 吊兰 富贵竹 文竹 发财树 龟背竹 万年青 芦荟 薰衣草 薄荷 迷迭香 含羞草 猪笼草 捕蝇草 狗尾巴草 芦苇 蒲草 水草 浮萍 青苔 苔藓 蕨类 竹子 竹笋 藤蔓 爬山虎 常春藤 紫藤 爬山虎 麦子 水稻 玉米 高粱 谷子 大豆 绿豆 红豆 芝麻 花生 油菜 棉花 甘蔗 甜菜 向日葵 罂粟 烟草 茶树 咖啡树 可可树 橡胶树 棕榈树 椰子树 香蕉树 苹果树 梨树 桃树 杏树 枣树 柿子树 石榴树 葡萄藤 猕猴桃藤 荔枝树 龙眼树 芒果树 橙子树 橘子树 柠檬树 蓝莓 树莓 草莓 枸杞 沙棘 无花果 橄榄树
地理自然|瀑布 峡谷 盆地 高原 平原 丘陵 沙漠 戈壁 绿洲 草原 森林 雨林 沼泽 湿地 冰川 雪山 火山 岛屿 半岛 群岛 礁石 海滩 沙滩 海岸 海湾 海角 海峡 三角洲 溶洞 钟乳石 石笋 天坑 峡谷 河谷 山谷 山脊 山顶 山坡 山脚 悬崖 峭壁 洞穴 岩洞 池塘 水库 湖泊 河流 小溪 支流 源头 河口 入海口 地下水 温泉 冷泉 喷泉 泥石流 滑坡 地震 海啸 台风 龙卷风 沙尘暴 山脉 丘陵 平原 盆地 高原 苔原 冻土 冰原 冰盖 冰山 浮冰 礁盘 暗礁 沙洲 滩涂 盐湖 咸水湖 淡水湖 火山口 陨石坑 溶洞 天坑 峡谷 沙漠 戈壁 绿洲
天文气象|太阳 月亮 地球 星星 星座 银河 宇宙 太空 恒星 行星 卫星 彗星 流星 陨石 星云 黑洞 光年 轨道 日食 月食 满月 新月 上弦月 下弦月 蓝天 白云 乌云 阴天 晴天 雨天 雪天 雾天 彩虹 晚霞 朝霞 夕阳 日出 日落 天空 云层 云朵 闪电 打雷 雷声 下雨 暴雨 阵雨 毛毛雨 雷阵雨 下雪 暴雪 鹅毛雪 冰雹 露水 大风 微风 台风 飓风 龙卷风 沙尘暴 气温 温度 湿度 天气 气候 季节 春天 夏天 秋天 冬天 炎热 寒冷 凉爽 温暖 闷热 潮湿 干燥 冰冻 结冰 霜冻 晨雾 薄雾 浓雾 夜空 北斗星 北极星 启明星 流星雨 银河系 星座 天文台 望远镜
人体|头发 额头 眉毛 眼睛 眼珠 眼皮 睫毛 鼻子 鼻孔 嘴巴 嘴唇 牙齿 舌头 喉咙 下巴 脸颊 耳朵 脖子 肩膀 手臂 胳膊 手掌 手背 手指 拇指 食指 中指 无名指 小指 指甲 手腕 手肘 胸口 胸膛 心脏 肚子 腹部 臀部 大腿 小腿 膝盖 脚踝 脚趾 脚掌 脚后跟 皮肤 肌肉 骨骼 关节 血管 血液 神经 大脑 额头 太阳穴 肚脐 腋下 锁骨 肋骨 脊椎 骨盆 头发 胡须 眉毛 睫毛 汗毛 毛孔 指纹 掌纹 鼻涕 口水 耳垢 肚脐 指甲 脚趾甲
健康|感冒 发烧 咳嗽 打喷嚏 流鼻涕 头痛 头晕 牙疼 肚子疼 胃疼 腹泻 便秘 失眠 疲劳 上火 过敏 发炎 红肿 伤口 流血 包扎 消毒 打针 输液 吃药 药片 胶囊 药丸 糖浆 药膏 创可贴 绷带 纱布 棉签 体温计 血压计 听诊器 口罩 手套 酒精 碘伏 药箱 急救 体检 挂号 门诊 住院 出院 医生 护士 病人 病历 处方 药店 中药 西药 保健品 维生素 钙片 鱼油 蛋白粉 洗手液 消毒液 养生 锻炼 减肥 增肥 营养 疾病 康复 疫苗 预防 治疗 手术 按摩 针灸 拔罐 推拿 艾灸 理疗 问诊 复诊 急诊 病房 药房 注射 接种 隔离 免疫力 抵抗力 亚健康 体检报告 处方药 非处方药 止痛药 退烧药 感冒药 止咳糖浆

# ============ 生活与器物 ============
家居|沙发 茶几 电视柜 餐桌 餐椅 书桌 书柜 书架 衣柜 鞋柜 床头柜 单人床 双人床 上下铺 婴儿床 吊床 摇椅 躺椅 板凳 椅子 凳子 木凳 折叠椅 转椅 老板椅 蒲团 坐垫 靠垫 抱枕 枕头 被子 毯子 床单 被套 枕套 床垫 席子 凉席 蚊帐 窗帘 门帘 屏风 地毯 地板 瓷砖 大理石 天花板 吊灯 台灯 落地灯 壁灯 床头灯 蜡烛 花瓶 花盆 绿植 盆栽 鱼缸 相框 挂钟 闹钟 日历 镜子 梳妆台 收纳箱 收纳盒 抽屉 柜子 五斗柜 矮柜 隔断 置物架 挂钩 衣架 晾衣架 垃圾桶 扫帚 拖把 簸箕 抹布 水桶 脸盆 浴缸 马桶 洗手池 淋浴头 浴霸 毛巾 浴巾 牙刷 牙膏 漱口杯 梳子 香皂 洗发水 沐浴露 洗面奶 护肤霜 化妆品 吹风机 剃须刀 指甲刀 棉签 纸巾 抽纸 卷纸 湿巾 垃圾袋 保鲜膜 保鲜袋 电蚊拍 蚊香 花露水 樟脑丸 樟脑球 雨伞 雨衣 钥匙 门锁 门把手 门铃 信箱 快递柜 鞋架 伞架 衣帽架
厨房|炒锅 平底锅 蒸锅 高压锅 电饭煲 电压力锅 电磁炉 燃气灶 油烟机 烤箱 微波炉 空气炸锅 面包机 豆浆机 榨汁机 破壁机 绞肉机 料理机 洗碗机 消毒柜 冰箱 冰柜 洗碗槽 水槽 水龙头 菜刀 水果刀 剪刀 砧板 案板 擀面杖 锅铲 汤勺 漏勺 筷子 勺子 叉子 汤碗 饭碗 茶杯 酒杯 茶壶 暖壶 保温杯 保温壶 饭盒 便当盒 保鲜盒 调味盒 盐罐 糖罐 油壶 酱油瓶 醋瓶 胡椒 花椒 八角 桂皮 香叶 辣椒粉 孜然 咖喱粉 淀粉 面粉 生粉 酵母 泡打粉 小苏打 食用油 花生油 菜籽油 橄榄油 香油 芝麻酱 豆瓣酱 甜面酱 番茄酱 沙拉酱 蚝油 生抽 老抽 料酒 陈醋 米醋 味精 鸡精 蜂蜜 冰糖 红糖 白糖 麦芽糖
电器|电视 电视机 电脑 笔记本 平板 手机 电话 座机 空调 电风扇 风扇 取暖器 电暖器 加湿器 除湿器 空气净化器 扫地机器人 吸尘器 洗衣机 烘干机 热水器 电热水器 燃气热水器 电饭锅 电水壶 烧水壶 饮水机 净水器 电冰箱 冷柜 电灯 灯泡 台灯 夜灯 电熨斗 挂烫机 电吹风 卷发棒 直发器 电动牙刷 电动剃须刀 脱毛器 足浴盆 按摩椅 跑步机 椭圆机 动感单车 投影仪 音响 音箱 耳机 蓝牙音箱 路由器 机顶盒 游戏机 电暖宝 暖手宝 电热毯 电蚊香 灭蚊灯 榨汁机 咖啡机 料理机 洗碗机 消毒柜 除螨仪 空气炸锅 电磁炉 电陶炉 电饼铛 电烤炉
服饰|上衣 外套 夹克 风衣 大衣 羽绒服 棉服 毛衣 羊毛衫 卫衣 衬衫 衬衣 T恤 背心 马甲 西装 西裤 牛仔裤 休闲裤 运动裤 短裤 长裤 裙子 连衣裙 短裙 长裙 半身裙 内衣 内裤 文胸 睡衣 睡裙 袜子 丝袜 连裤袜 长筒袜 短袜 运动鞋 皮鞋 布鞋 凉鞋 拖鞋 高跟鞋 平底鞋 靴子 雪地靴 雨靴 帆布鞋 板鞋 球鞋 帽子 鸭舌帽 棒球帽 渔夫帽 草帽 贝雷帽 头盔 手套 围巾 丝巾 领带 领结 皮带 腰带 背包 双肩包 单肩包 手提包 钱包 挎包 腰包 行李箱 手提箱 眼镜 墨镜 太阳镜 隐形眼镜 手表 首饰 耳环 项链 戒指 手镯 手链 胸针 发夹 发箍 头绳 发带 袖套 护膝 护腕 雨披 泳衣 泳镜 泳帽 秋衣 秋裤 保暖内衣 羽绒背心 冲锋衣 防晒衣 工装裤 阔腿裤 喇叭裤 背带裤 连体裤

# ============ 出行与城市 ============
交通|汽车 轿车 跑车 越野车 面包车 货车 卡车 公交车 巴士 地铁 轻轨 高铁 火车 动车 磁悬浮 电车 摩托车 电动车 自行车 山地车 共享单车 三轮车 出租车 网约车 顺风车 班车 校车 救护车 消防车 警车 洒水车 垃圾车 油罐车 拖车 叉车 吊车 挖掘机 推土机 压路机 轮船 客船 货轮 游轮 帆船 快艇 渔船 渡轮 皮划艇 独木舟 竹筏 飞机 客机 直升机 热气球 滑翔机 无人机 火箭 宇宙飞船 空间站 轮胎 方向盘 引擎 发动机 变速箱 刹车 油门 离合 档位 红绿灯 斑马线 人行道 车道 高速 国道 省道 隧道 立交桥 高架桥 天桥 地下通道 公交站 地铁站 火车站 飞机场 航站楼 停车场 加油站 充电桩 收费站 服务区 车票 机票 船票 月票 交通卡 导航 红绿灯 摄像头 护栏 减速带 斑马线 停车位 车库 车位 洗车场 修车铺 轮胎店
城市建筑|楼房 高楼 大厦 摩天大楼 公寓 小区 商品房 别墅 洋房 平房 瓦房 楼房 写字楼 办公楼 商场 购物中心 超市 便利店 菜市场 农贸市场 电影院 剧院 体育馆 游泳馆 图书馆 博物馆 美术馆 展览馆 科技馆 少年宫 文化宫 公园 广场 游乐场 游乐园 动物园 植物园 水族馆 教堂 寺庙 道观 清真寺 银行 邮局 医院 学校 幼儿园 养老院 孤儿院 酒店 宾馆 旅馆 招待所 饭店 餐厅 咖啡馆 茶馆 酒吧 网吧 理发店 美容院 洗衣店 照相馆 打印店 药店 诊所 派出所 消防队 公安局 法院 检察院 监狱 拘留所 电视台 电台 报社 出版社 印刷厂 工厂 厂房 仓库 工地 脚手架 吊塔 建筑工地 电梯 楼梯 走廊 过道 大门 门口 围墙 栅栏 铁门 卷帘门 玻璃门 旋转门 地下车库 地下室 天台 阳台 露台 飘窗 落地窗 采光井 消防通道 安全出口 指示牌 路标 广告牌 霓虹灯 路灯 电线杆 井盖 窨井 消防栓 垃圾桶 公共厕所 洗手间 母婴室 无障碍通道 盲道
学校|学校 大学 中学 小学 幼儿园 高中 初中 教室 教学楼 操场 食堂 宿舍 图书馆 实验室 电脑室 音乐教室 美术教室 体育课 语文 数学 英语 物理 化学 生物 历史 地理 政治 音乐课 美术课 体育 班会 早读 晚自习 上课 下课 考试 月考 期中 期末 中考 高考 考研 毕业 开学 放假 寒假 暑假 寒假作业 暑假作业 作业 练习册 课本 教材 教辅 试卷 答题卡 分数 成绩 排名 满分 及格 不及格 补考 重修 奖学金 助学金 学费 书本费 学费 班主任 老师 教授 校长 主任 班长 组长 学委 课代表 同学 同桌 学生 小学生 中学生 大学生 研究生 博士 硕士 本科 专科 专业 课程 学分 学位 文凭 毕业证 学位证 录取 通知书 志愿 填报 面试 笔试 论文 答辩 开题 选题 导师 师姐 师兄 师妹 师弟 校友 社团 学生会 社团 兴趣班 补习班 培训班 特长班
职业|医生 护士 教师 老师 警察 消防员 军人 律师 法官 检察官 会计 出纳 审计 程序员 工程师 设计师 建筑师 药剂师 兽医 科学家 研究员 记者 编辑 主持人 主播 演员 导演 编剧 歌手 舞蹈家 画家 书法家 摄影师 厨师 面包师 糕点师 理发师 美容师 按摩师 裁缝 司机 快递员 外卖员 配送员 保安 保洁 保姆 月嫂 管家 服务员 收银员 营业员 售货员 导购 销售 业务员 客服 前台 行政 人事 文员 秘书 助理 经理 总监 总裁 老板 老板娘 股东 投资人 创业者 个体户 摊主 商贩 农民 渔民 牧民 猎人 矿工 建筑工 电工 焊工 木工 瓦工 油漆工 水管工 修理工 汽修工 园丁 花匠 清洁工 搬运工 装卸工 快递 外卖 代驾 飞行员 空姐 空乘 船长 船员 导游 翻译 口译 笔译 健身教练 瑜伽教练 体育老师 舞蹈老师 钢琴老师 家教 门卫 传菜员 洗碗工 厨工 淘宝店主 微商 直播带货 网红 博主 自媒体 网约车司机 出租司机 教授 校长 班主任 公务员 城管 交警 协警 特警 武警 民兵 消防 护林员 饲养员 驯兽师 兽医助理 药师 中药师 营养师 心理咨询师 律师助理 法务 公证员 仲裁员 纪检 监察 书记员 档案员 图书管理员 资料员 报关员 报检员 快递分拣员 库管 仓管 理货员 采购 供应链 质检 品控 安全员 消防员 应急 救援队员 志愿者 义工 社工

# ============ 文体与娱乐 ============
体育|足球 篮球 排球 羽毛球 乒乓球 网球 棒球 垒球 橄榄球 高尔夫 保龄球 台球 桌球 曲棍球 冰球 水球 手球 藤球 毽球 游泳 跳水 花样游泳 水球 潜水 冲浪 帆板 皮划艇 赛艇 龙舟 跑步 短跑 长跑 马拉松 竞走 跨栏 跳高 跳远 三级跳 撑杆跳 铅球 标枪 铁饼 链球 体操 艺术体操 蹦床 举重 拳击 摔跤 柔道 跆拳道 空手道 武术 散打 击剑 射击 射箭 滑冰 花样滑冰 速度滑冰 短道速滑 滑雪 高山滑雪 越野滑雪 跳台滑雪 单板滑雪 冰壶 雪橇 钢架雪车 自行车 公路自行车 场地自行车 山地自行车 摩托车赛 赛车 围棋 象棋 国际象棋 五子棋 桥牌 麻将 扑克 电子竞技 电竞 健身 瑜伽 普拉提 肚皮舞 广场舞 拉丁舞 街舞 跳绳 踢毽子 拔河 赛马 马术 钓鱼 攀岩 蹦极 跳伞 滑板 轮滑 冰刀 裁判 教练 运动员 啦啦队 球迷 裁判 主裁判 边裁 记分牌 金牌 银牌 铜牌 冠军 亚军 季军 奖杯 奖牌 奖状 领奖台 球门 球网 球拍 球鞋 球衣 护膝 护腕 护具 起跑线 终点线 跑道 泳道 赛道
音乐|歌曲 旋律 节奏 歌词 音符 音阶 和弦 声乐 合唱 独唱 乐队 乐团 指挥 歌手 作曲家 作词 作曲 钢琴 小提琴 大提琴 中提琴 吉他 贝斯 架子鼓 鼓手 键盘手 萨克斯 小号 长号 圆号 大号 单簧管 双簧管 长笛 短笛 手风琴 口琴 竖琴 定音鼓 电子琴 电吉他 尤克里里 弹唱 伴奏 前奏 间奏 尾奏 副歌 主歌 高潮 低音 高音 中音 假声 真声 颤音 走音 跑调 调音 音准 节拍 拍子 四分音符 八分音符 五线谱 简谱 乐谱 歌谱 演唱会 音乐会 歌剧院 音乐节 唱片 专辑 单曲 磁带 黑胶 播放器 随身听 耳机 麦克风 话筒 音响 混响 回声 消音 静音 音量 调大 调小 静音键
影视娱乐|电影 电视剧 动画片 纪录片 综艺 真人秀 新闻 广播 电台 电视 频道 节目 直播 录播 回放 点播 首播 重播 剧集 番剧 网剧 电影票 票房 上映 首映 影院 影厅 大银幕 银幕 屏幕 镜头 画面 剧情 剧本 台词 字幕 配音 配乐 片头 片尾 花絮 预告片 彩蛋 角色 主角 配角 反派 龙套 群演 群众演员 影帝 影后 视帝 视后 明星 艺人 偶像 粉丝 应援 流量 热搜 话题 八卦 绯闻 狗仔 狗仔队 媒体 娱乐 晚会 联欢会 春晚 跨年 红毯 走红毯 颁奖 颁奖礼 电影节 金鸡奖 金像奖 金马奖 奥斯卡 卡通 动漫 漫画 绘本 电竞直播 游戏直播 吃播 健身直播 唱歌直播 带货直播 综艺节目 脱口秀 相声 小品 魔术 杂技 马戏 话剧 歌剧 舞剧 音乐剧 京剧 越剧 黄梅戏 评剧 豫剧 木偶戏 皮影戏
游戏玩具|游戏 玩具 积木 拼图 魔方 乐高 娃娃 布娃娃 洋娃娃 玩偶 手办 模型 遥控车 遥控飞机 无人机 风筝 陀螺 弹珠 玻璃珠 跳棋 军棋 飞行棋 大富翁 三国杀 狼人杀 剧本杀 密室逃脱 桌游 卡牌 扑克牌 麻将牌 骰子 电子游戏 手机游戏 网络游戏 单机游戏 主机游戏 街机 掌机 游戏机 手柄 键盘 鼠标 显示器 游戏本 显卡 内存 硬盘 电竞椅 电竞桌 装备 皮肤 道具 金币 钻石 积分 关卡 副本 任务 成就 排行榜 排位 段位 组队 开黑 团战 单挑 挂机 氪金 抽卡 十连抽 保底 打野 上单 中单 射手 坦克 法师 刺客 奶妈 队友 对手 敌人 怪物 僵尸 外星人 机器人 超级英雄 奥特曼 变形金刚 高达 皮卡丘 马里奥 小游戏 消消乐 俄罗斯方块 贪吃蛇 扫雷 连连看 泡泡堂 魂斗罗 双截龙 超级玛丽 斗地主 升级 拖拉机 掼蛋 斗牛 炸金花

# ============ 科技与网络 ============
数码科技|手机 电脑 笔记本 平板 台式机 键盘 鼠标 显示器 屏幕 触屏 芯片 处理器 显卡 内存条 硬盘 固态硬盘 优盘 U盘 移动硬盘 内存卡 读卡器 数据线 充电线 充电器 充电宝 电源 电池 锂电池 耳机 蓝牙耳机 音箱 麦克风 摄像头 路由器 光猫 网线 光纤 无线网 蓝牙 热点 手机卡 流量 话费 套餐 信号 信号塔 基站 天线 雷达 卫星 导航 定位 传感器 智能手环 智能手表 智能音箱 智能家居 扫地机 机器人 无人机 打印机 复印机 扫描仪 投影仪 电视 机顶盒 游戏主机 掌上游戏机 数码相机 单反 微单 摄像机 摄像头 三脚架 快门 镜头 像素 分辨率 屏幕 亮度 对比度 刷新率 内存 存储 系统 软件 硬件 应用 程序 版本 升级 更新 下载 安装 卸载 开机 关机 重启 死机 卡顿 流畅 加密 解密 防火墙 杀毒 病毒 木马 黑客 漏洞 补丁 数据 备份 云端 云盘 同步 缓存 清理 格式化 恢复 密码 验证码 人脸识别 指纹识别 语音识别 人工智能 大数据 智能汽车 无人驾驶 自动驾驶 电动车 充电桩 超级快充 无线充电

# ============ 工作与社交 ============
网络|微信 微博 抖音 快手 小红书 B站 知乎 豆瓣 贴吧 论坛 社区 群聊 朋友圈 公众号 视频号 直播 直播间 弹幕 评论 点赞 转发 收藏 关注 粉丝 取关 拉黑 屏蔽 举报 水军 键盘侠 喷子 杠精 大佬 萌新 小白 老司机 吃货 驴友 网友 网友 群主 管理员 版主 楼主 沙发 板凳 前排 围观 潜水 冒泡 潜水员 盖楼 刷屏 灌水 顶帖 沉帖 精华帖 热帖 热搜 头条 网红 博主 主播 达人 大V 意见领袖 自媒体 短视频 长视频 直播带货 打赏 礼物 刷礼物 榜一 粉丝团 应援 打榜 追星 站哥 饭圈 二次元 三次元 宅男 宅女 游戏宅 技术宅 极客 数码控 追剧 追番 追更 催更 断更 弃坑 入坑 退坑 二刷 三刷 安利 种草 拔草 剁手 买买买 双十一 双十二 618 购物节 秒杀 抢购 拼单 团购 代购 海淘 转运 保税仓 尾款 预售 定金 满减 优惠券 红包 折扣 免单 返现 好评 差评 中评 追评 晒单 开箱 测评 种草文 避雷 翻车 真香 打脸 名场面 高能 名场面 高光 高能预警 弹幕护体 空降 完结 撒花
